Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au	distance
81	-0.7835219433593718	0.273	0.011	0.007	0.098	0.061	0.181	0.369	0.0	0.06652882798453866
82	-0.9472214355468722	0.503	0.0	0.0	0.0	0.0	0.0	0.495	0.002	0.07733875361469326
83	-0.9770532714843713	0.492	0.0	0.0	0.0	0.002	0.15	0.357	-0.001	0.03622591618005334
84	-0.2366093945312502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2195245469486938
85	-0.9487745996093739	0.421	0.0	0.0	0.0	0.0	0.046	0.373	0.16	0.018873310687917835
86	-0.18561587890625011	0.035	0.468	0.0	0.005	0.0	0.016	0.473	0.003	0.37101115630700365
87	-0.9633016113281244	0.484	0.0	0.0	0.0	0.001	0.327	0.188	0.0	0.09679439909941341
88	-0.9850397167968725	0.412	0.036	0.018	0.002	0.112	0.197	0.222	0.001	0.03981436973818631
89	-0.8578643066406245	0.403	0.058	0.036	0.001	0.069	0.425	0.008	0.0	0.2139239687239057
90	-0.7639386132812506	0.222	0.021	0.008	0.007	0.484	0.229	0.024	0.005	0.35103923534257225
91	-0.9435106640624987	0.568	0.0	0.0	0.0	0.059	0.082	0.29	0.001	0.03841424483115364
92	-0.8813801562499963	0.336	0.0	0.0	0.0	0.193	0.05	0.42	0.001	0.07394734304294881
93	-0.985964687499997	0.416	0.0	0.0	0.0	0.0	0.281	0.301	0.002	0.0655010576367477
94	-0.9512796972656246	0.473	0.0	0.0	0.0	0.091	0.229	0.208	-0.001	0.05392354437537835
95	-0.9442812304687468	0.426	0.0	0.0	0.0	0.074	0.125	0.375	0.0	0.03319844519157876
96	-0.9287457812499971	0.387	0.0	0.0	0.0	0.088	0.107	0.419	-0.001	0.04519020520411214
97	-0.9484129101562471	0.444	0.0	0.0	0.0	0.086	0.131	0.339	0.0	0.029261810742475552
98	-0.9584169628906246	0.483	0.0	0.0	0.0	0.0	0.338	0.176	0.003	0.10467995523311915
99	-0.20179685546874965	0.0	0.016	0.0	0.52	0.0	0.464	0.0	0.0	0.6709906898615844
100	-0.8188172558593756	0.381	0.101	0.0	0.0	0.0	0.311	0.206	0.001	0.0816144348130074
101	-0.9455524414062453	0.457	0.004	0.049	0.0	0.0	0.226	0.264	0.0	0.04376130321653624
102	-0.6976231738281238	0.302	0.143	0.0	0.0	0.278	0.0	0.277	0.0	0.10021735628994519
103	-1.0145519433593702	0.417	0.056	0.0	0.0	0.0	0.21	0.309	0.008	0.035545148168577775
104	-0.9653535742187493	0.594	0.003	0.0	0.0	0.0	0.21	0.191	0.002	0.07327845426393644
105	-0.9593783398437471	0.547	0.068	0.0	0.0	0.0	0.057	0.328	0.0	0.03114391783182561
106	-0.23485609374999986	0.0	0.0	0.095	0.426	0.0	0.033	0.446	0.0	0.39074853863981485
107	-0.261744374999999	0.0	0.0	0.585	0.0	0.0	0.0	0.414	0.001	0.5322741366973979
108	-1.0049396874999978	0.395	0.014	0.0	0.0	0.0	0.183	0.263	0.145	0.022773636493518212
109	-0.6988916894531249	0.518	0.0	0.444	0.0	0.0	0.039	0.0	-0.001	0.27192269538534775
110	-0.9776978515624959	0.383	0.054	0.0	0.0	0.066	0.172	0.294	0.031	0.026127809834827355
111	-0.20300522460937398	0.0	0.0	0.5	0.488	0.0	0.009	0.0	0.003	0.707127898586532
112	-0.9709826171874995	0.49	0.0	0.0	0.0	0.0	0.176	0.176	0.158	0.03418033222984819
113	-0.17047503906249922	0.0	0.0	0.43	0.0	0.569	0.0	0.0	0.001	0.728086507215795
114	-0.9389846972656285	0.381	0.0	0.0	0.0	0.0	0.336	0.0	0.283	0.15117338816405004
115	-0.25287365234374987	0.0	0.0	0.0	0.0	0.006	0.46	0.53	0.004	0.42143993501429594
116	-0.6838361328125006	0.406	0.0	0.239	0.0	0.0	0.355	0.0	0.0	0.2198150158718352
117	-0.9372496386718714	0.726	0.014	0.034	0.001	0.001	0.035	0.189	0.0	0.11238581194518585
118	-0.966440146484375	0.406	0.0	0.0	0.0	0.0	0.265	0.144	0.185	0.06387746673306832
119	-0.9184119238281274	0.381	0.008	0.019	0.0	0.0	0.583	0.01	-0.001	0.3554882038279296
120	-0.8903839550781282	0.438	0.0	0.0	0.015	0.0	0.495	0.052	0.0	0.2513168085107013
121	-0.644946865234375	0.117	0.0	0.0	0.012	0.391	0.48	0.0	0.0	0.4896017704533592
122	-1.0162059179687448	0.461	0.046	0.0	0.019	0.0	0.175	0.298	0.001	0.02716328870887549
123	-0.6981638671874976	0.648	0.004	0.193	0.0	0.015	0.0	0.14	0.0	0.11324015808833485
124	-1.008753613281247	0.435	0.033	0.0	0.0	0.0	0.207	0.276	0.049	0.0319204896821551
125	-0.7881833105468767	0.32	0.0	0.0	0.0	0.244	0.437	0.0	-0.001	0.28680669127835834
126	-0.9614631542968741	0.364	0.0	0.0	0.0	0.128	0.159	0.19	0.159	0.03713046818709042
127	-0.9272076953124961	0.275	0.0	0.0	0.0	0.0	0.223	0.502	0.0	0.11866808055195004
128	-0.08403414062500016	0.0	0.498	0.015	0.0	0.487	0.0	0.0	0.0	0.6676841123980857
129	-0.7785602832031259	0.23	0.0	0.0	0.0	0.399	0.0	0.106	0.265	0.20901169993359842
130	-0.773361806640622	0.26	0.109	0.0	0.0	0.0	0.194	0.437	0.0	0.08686190448634651
131	-0.9267988574218783	0.385	0.0	0.0	0.0	0.0	0.171	0.0	0.444	0.07890672896238231
132	-0.13512662109374993	0.0	0.503	0.0	0.0	0.0	0.497	0.0	0.0	0.6468984963180883
133	-0.8668700976562506	0.405	0.0	0.033	0.0	0.103	0.253	0.0	0.206	0.11933745963149839
134	-0.9512503515625006	0.629	0.0	0.0	0.0	0.0	0.0	0.182	0.189	0.059915925875334
135	-0.9777105175781213	0.443	0.0	0.0	0.0	0.0	0.208	0.349	0.0	0.04439119496466675
136	-0.9091869531250029	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.07433983527193207
137	-0.782199296875001	0.698	0.115	0.0	0.0	0.006	0.0	0.181	0.0	0.10153477479264898
138	-0.5862314355468761	0.338	0.0	0.0	0.211	0.0	0.0	0.45	0.001	0.09330435768910866
139	-0.7050304882812493	0.372	0.0	0.628	0.0	0.0	0.0	0.0	0.0	0.45681536733377337
140	-0.8988315332031277	0.845	0.071	0.007	0.002	0.009	0.002	0.064	0.0	0.23519105738137977
141	-0.9729395605468752	0.421	0.0	0.0	0.0	0.0	0.0	0.171	0.408	0.008333034566490698
142	-0.9816199218750012	0.373	0.0	0.0	0.0	0.0	0.107	0.185	0.335	0.010398471871264843
143	-0.9779663867187448	0.433	0.077	0.0	0.0	0.0	0.155	0.334	0.001	0.025530477000406625
144	-0.9795999414062495	0.424	0.022	0.002	0.051	0.052	0.195	0.255	-0.001	0.031864466137654895
145	-0.9117034179687531	0.351	0.0	0.0	0.0	0.0	0.0	0.0	0.649	0.06384183017004086
146	-0.9101819628906265	0.3	0.0	0.0	0.0	0.0	0.0	0.233	0.467	0.012141181933305501
147	-0.5994492382812484	0.129	0.0	0.57	0.0	0.0	0.301	0.0	0.0	0.5276261507928941
148	-0.7298647070312495	0.414	0.0	0.133	0.0	0.0	0.0	0.0	0.453	0.07951843191125434
