Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
103	-0.7344966113281259	0.405	0.195	0.0	0.0	0.0	0.0	0.0	0.4
104	-0.5779646679687507	0.312	0.615	0.032	0.0	0.041	0.0	0.0	0.0
105	-0.23776065429687565	0.018	0.012	0.054	0.525	0.0	0.0	0.391	0.0
106	-0.6556091894531246	0.298	0.086	0.033	0.0	0.36	0.214	0.009	0.0
107	-1.0211344140625012	0.449	0.0	0.0	0.0	0.0	0.0	0.254	0.297
108	-0.9094598046875035	0.479	0.0	0.0	0.0	0.0	0.182	0.0	0.339
109	-0.565998359375001	0.446	0.0	0.0	0.554	0.0	0.0	0.0	0.0
110	-0.8526828222656205	0.239	0.005	0.0	0.0	0.31	0.0	0.447	-0.001
111	-0.47142264648437593	0.429	0.31	0.017	0.244	0.0	0.0	0.0	0.0
112	-0.6859962499999988	0.291	0.405	0.0	0.002	0.124	0.0	0.178	0.0
113	-0.6958042675781225	0.129	0.015	0.0	0.0	0.265	0.193	0.398	0.0
114	-0.2063062890624988	0.0	0.041	0.1	0.0	0.319	0.0	0.539	0.001
115	-0.5816773242187507	0.488	0.0	0.0	0.258	0.0	0.0	0.254	0.0
116	-0.9005998828124959	0.287	0.022	0.0	0.0	0.288	0.141	0.262	0.0
117	-0.17083777343749884	0.0	0.0	0.627	0.0	0.305	0.068	0.0	0.0
118	-0.8411603808593761	0.389	0.0	0.0	0.022	0.511	0.079	0.0	-0.001
119	-0.7491031933593711	0.328	0.116	0.0	0.0	0.217	0.0	0.34	-0.001
120	-0.831608984374993	0.237	0.08	0.0	0.015	0.028	0.262	0.378	0.0
121	-0.9458338769531224	0.664	0.0	0.0	0.0	0.181	0.0	0.154	0.001
122	-0.8333044531249996	0.547	0.0	0.099	0.0	0.0	0.179	0.175	0.0
123	-0.9021890527343762	0.516	0.0	0.0	0.0	0.196	0.0	0.0	0.288
124	-0.8772396777343769	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
125	-0.885772792968752	0.37	0.0	0.0	0.0	0.113	0.176	0.0	0.341
126	-1.010702880859375	0.476	0.0	0.0	0.0	0.0	0.0	0.216	0.308
127	-0.954938984374996	0.395	0.0	0.0	0.0	0.018	0.28	0.304	0.003
128	-1.0151954589843752	0.454	0.0	0.0	0.0	0.029	0.0	0.251	0.266
129	-0.8356452734374993	0.228	0.0	0.0	0.0	0.177	0.358	0.237	0.0
130	-0.4637363964843743	0.137	0.427	0.038	0.001	0.219	0.023	0.002	0.153
131	-0.6230162890625017	0.315	0.154	0.0	0.0	0.0	0.531	0.0	0.0
132	-0.19802794921875036	0.042	0.021	0.069	0.426	0.003	0.299	0.023	0.117
133	-0.39871219726562457	0.27	0.313	0.334	0.023	0.011	0.042	0.002	0.005
134	-0.6931302246093759	0.157	0.0	0.0	0.0	0.247	0.596	0.0	0.0
135	-0.17940193359374954	0.015	0.003	0.059	0.028	0.379	0.477	0.031	0.008
136	-0.5637386425781257	0.243	0.02	0.302	0.011	0.063	0.012	0.229	0.12
137	-0.2576697656250006	0.033	0.034	0.011	0.003	0.012	0.402	0.401	0.104
138	-0.2575462304687503	0.201	0.04	0.34	0.216	0.175	0.001	0.017	0.01
139	-0.19842537109374922	0.034	0.003	0.518	0.024	0.027	0.22	0.119	0.055
140	-0.9539231738281213	0.37	0.0	0.0	0.0	0.0	0.222	0.407	0.001
141	-0.5380773925781258	0.284	0.0	0.122	0.0	0.562	0.012	0.019	0.001
142	-0.9619757812499997	0.429	0.0	0.0	0.0	0.069	0.0	0.122	0.38
143	-0.884033437499999	0.551	0.073	0.0	0.0	0.294	0.0	0.083	-0.001
144	-0.8877966308593742	0.545	0.008	0.033	0.002	0.047	0.045	0.11	0.21
