ID	Elements	Generation	Position	Inertia	Velocity	Activity
3	['Pt', 'Pd', 'Au']	6	[0.353 0.353 0.291]	[ 0.033 -0.017 -0.017]	[ 0.021 -0.037  0.016]	-1.0236126367187477
4	['Pt', 'Pd', 'Au']	6	[0.378 0.346 0.276]	[ 0.02  -0.026  0.006]	[ 0.002 -0.01   0.007]	-1.0222609960937474
5	['Pt', 'Pd', 'Au']	6	[0.383 0.344 0.272]	[-0.004 -0.007  0.011]	[ 0.027 -0.034  0.007]	-1.0230309765624976
6	['Pt', 'Pd', 'Au']	6	[0.376 0.358 0.267]	[-0.006 -0.011  0.018]	[ 0.042 -0.048  0.006]	-1.0190651757812474
1	['Pt', 'Pd', 'Au']	7	[0.422 0.318 0.258]	[-0.017 -0.017  0.033]	[-0.014 -0.002  0.016]	-1.0302519531249976
2	['Pt', 'Pd', 'Au']	7	[0.416 0.277 0.306]	[-0.017  0.033 -0.017]	[-0.004 -0.005  0.009]	-1.016269736328125
3	['Pt', 'Pd', 'Au']	7	[0.374 0.316 0.307]	[ 0.033 -0.017 -0.017]	[-0.    -0.006  0.007]	-1.0315475097656233
4	['Pt', 'Pd', 'Au']	7	[0.38  0.336 0.283]	[ 0.02  -0.026  0.006]	[ 0.01  -0.023  0.013]	-1.0214402441406225
5	['Pt', 'Pd', 'Au']	7	[0.41  0.31  0.279]	[-0.004 -0.007  0.011]	[-0.004 -0.008  0.011]	-1.0283643945312475
6	['Pt', 'Pd', 'Au']	7	[0.418 0.31  0.273]	[-0.006 -0.011  0.018]	[-0.012  0.     0.012]	-1.0297718359374974
1	['Pt', 'Pd', 'Au']	8	[0.408 0.316 0.274]	[-0.017 -0.017  0.033]	[-0.022  0.015  0.006]	-1.0292592578124975
2	['Pt', 'Pd', 'Au']	8	[0.412 0.272 0.315]	[-0.017  0.033 -0.017]	[-0.035  0.027  0.008]	-1.0154942578125
3	['Pt', 'Pd', 'Au']	8	[0.374 0.31  0.314]	[ 0.033 -0.017 -0.017]	[-0.033  0.023  0.01 ]	-1.031137900390623
4	['Pt', 'Pd', 'Au']	8	[0.39  0.313 0.296]	[ 0.02  -0.026  0.006]	[-0.043  0.036  0.007]	-1.0297370117187479
5	['Pt', 'Pd', 'Au']	8	[0.406 0.302 0.29 ]	[-0.004 -0.007  0.011]	[-0.035  0.024  0.011]	-1.0285611230468727
6	['Pt', 'Pd', 'Au']	8	[0.406 0.31  0.285]	[-0.006 -0.011  0.018]	[-0.029  0.018  0.011]	-1.0284019726562477
1	['Pt', 'Pd', 'Au']	9	[0.386 0.331 0.28 ]	[-0.017 -0.017  0.033]	[-0.007  0.004  0.002]	-1.0228366699218725
2	['Pt', 'Pd', 'Au']	9	[0.377 0.299 0.323]	[-0.017  0.033 -0.017]	[ 0.    -0.001  0.   ]	-1.0233034277343729
3	['Pt', 'Pd', 'Au']	9	[0.341 0.333 0.324]	[ 0.033 -0.017 -0.017]	[-0.001  0.001  0.001]	-0.9980300488281236
4	['Pt', 'Pd', 'Au']	9	[0.347 0.349 0.303]	[ 0.02  -0.026  0.006]	[ 0.008 -0.015  0.007]	-1.026796347656248
5	['Pt', 'Pd', 'Au']	9	[0.371 0.326 0.301]	[-0.004 -0.007  0.011]	[-0.001 -0.002  0.003]	-1.0247683105468728
6	['Pt', 'Pd', 'Au']	9	[0.377 0.328 0.296]	[-0.006 -0.011  0.018]	[-0.003  0.003  0.   ]	-1.0241039453124978
1	['Pt', 'Pd', 'Au']	10	[0.379 0.335 0.282]	[-0.017 -0.017  0.033]	[ 0.011 -0.002 -0.009]	-1.0214402441406225
2	['Pt', 'Pd', 'Au']	10	[0.377 0.298 0.323]	[-0.017  0.033 -0.017]	[ 0.008  0.    -0.008]	-1.0217501171874983
3	['Pt', 'Pd', 'Au']	10	[0.34  0.334 0.325]	[ 0.033 -0.017 -0.017]	[ 0.008 -0.    -0.008]	-0.9980300488281236
4	['Pt', 'Pd', 'Au']	10	[0.355 0.334 0.31 ]	[ 0.02  -0.026  0.006]	[ 0.003  0.008 -0.011]	-1.0251057226562477
5	['Pt', 'Pd', 'Au']	10	[0.37  0.324 0.304]	[-0.004 -0.007  0.011]	[ 0.008  0.001 -0.01 ]	-1.0247683105468728
6	['Pt', 'Pd', 'Au']	10	[0.374 0.331 0.296]	[-0.006 -0.011  0.018]	[ 0.009 -0.002 -0.008]	-1.0241039453124978
1	['Pt', 'Pd', 'Au']	11	[0.39  0.333 0.273]	[-0.017 -0.017  0.033]	[-0.004  0.006 -0.002]	-1.0228476855468724
2	['Pt', 'Pd', 'Au']	11	[0.385 0.298 0.315]	[-0.017  0.033 -0.017]	[-0.003  0.005 -0.002]	-1.0295845898437481
3	['Pt', 'Pd', 'Au']	11	[0.348 0.334 0.317]	[ 0.033 -0.017 -0.017]	[-0.002  0.004 -0.002]	-1.0273782128906228
4	['Pt', 'Pd', 'Au']	11	[0.358 0.342 0.299]	[ 0.02  -0.026  0.006]	[ 0.     0.001 -0.001]	-1.0242770019531227
5	['Pt', 'Pd', 'Au']	11	[0.378 0.325 0.294]	[-0.004 -0.007  0.011]	[-0.002  0.004 -0.001]	-1.0241039453124978
6	['Pt', 'Pd', 'Au']	11	[0.383 0.329 0.288]	[-0.006 -0.011  0.018]	[-0.003  0.005 -0.002]	-1.0229280566406227
1	['Pt', 'Pd', 'Au']	12	[0.386 0.339 0.271]	[-0.017 -0.017  0.033]	[ 0.016 -0.025  0.009]	-1.0229759960937477
2	['Pt', 'Pd', 'Au']	12	[0.382 0.303 0.313]	[-0.017  0.033 -0.017]	[ 0.015 -0.023  0.009]	-1.031261328124998
3	['Pt', 'Pd', 'Au']	12	[0.346 0.338 0.315]	[ 0.033 -0.017 -0.017]	[ 0.014 -0.023  0.009]	-1.0274275292968729
4	['Pt', 'Pd', 'Au']	12	[0.358 0.343 0.298]	[ 0.02  -0.026  0.006]	[ 0.014 -0.022  0.008]	-1.0242770019531227
5	['Pt', 'Pd', 'Au']	12	[0.376 0.329 0.293]	[-0.004 -0.007  0.011]	[ 0.015 -0.023  0.008]	-1.0241039453124978
6	['Pt', 'Pd', 'Au']	12	[0.38  0.334 0.286]	[-0.006 -0.011  0.018]	[ 0.015 -0.023  0.008]	-1.0209203124999977
1	['Pt', 'Pd', 'Au']	13	[0.402 0.314 0.28 ]	[-0.017 -0.017  0.033]	[-0.001  0.     0.   ]	-1.0283643945312475
2	['Pt', 'Pd', 'Au']	13	[0.397 0.28  0.322]	[-0.017  0.033 -0.017]	[-0.003 -0.002  0.005]	-1.0124218457031249
3	['Pt', 'Pd', 'Au']	13	[0.36  0.315 0.324]	[ 0.033 -0.017 -0.017]	[ 0.001 -0.001 -0.   ]	-1.024282656249998
4	['Pt', 'Pd', 'Au']	13	[0.372 0.321 0.306]	[ 0.02  -0.026  0.006]	[ 0.001 -0.001  0.001]	-1.0295322949218728
5	['Pt', 'Pd', 'Au']	13	[0.391 0.306 0.301]	[-0.004 -0.007  0.011]	[-0.    -0.001  0.001]	-1.0304013769531228
6	['Pt', 'Pd', 'Au']	13	[0.395 0.311 0.294]	[-0.006 -0.011  0.018]	[ 0.    -0.001  0.001]	-1.0297370117187479
1	['Pt', 'Pd', 'Au']	14	[0.401 0.314 0.28 ]	[-0.017 -0.017  0.033]	[-0.003  0.014 -0.011]	-1.0283643945312475
2	['Pt', 'Pd', 'Au']	14	[0.394 0.278 0.327]	[-0.017  0.033 -0.017]	[-0.001  0.014 -0.013]	-1.0051878515625003
3	['Pt', 'Pd', 'Au']	14	[0.361 0.314 0.324]	[ 0.033 -0.017 -0.017]	[-0.003  0.014 -0.011]	-1.024282656249998
4	['Pt', 'Pd', 'Au']	14	[0.373 0.32  0.307]	[ 0.02  -0.026  0.006]	[-0.004  0.014 -0.011]	-1.030678427734373
5	['Pt', 'Pd', 'Au']	14	[0.391 0.305 0.302]	[-0.004 -0.007  0.011]	[-0.008  0.015 -0.007]	-1.0304013769531228
6	['Pt', 'Pd', 'Au']	14	[0.395 0.31  0.295]	[-0.006 -0.011  0.018]	[-0.003  0.014 -0.011]	-1.0297370117187479
1	['Pt', 'Pd', 'Au']	15	[0.398 0.328 0.269]	[-0.017 -0.017  0.033]	[-0.011  0.009  0.002]	-1.0245490234374974
2	['Pt', 'Pd', 'Au']	15	[0.393 0.292 0.314]	[-0.017  0.033 -0.017]	[-0.012  0.009  0.003]	-1.0308603222656234
3	['Pt', 'Pd', 'Au']	15	[0.358 0.328 0.313]	[ 0.033 -0.017 -0.017]	[-0.011  0.009  0.002]	-1.0265021484374977
4	['Pt', 'Pd', 'Au']	15	[0.369 0.334 0.296]	[ 0.02  -0.026  0.006]	[-0.015  0.01   0.005]	-1.0227075195312478
5	['Pt', 'Pd', 'Au']	15	[0.383 0.32  0.295]	[-0.004 -0.007  0.011]	[-0.008  0.008 -0.001]	-1.0288679296874979
6	['Pt', 'Pd', 'Au']	15	[0.392 0.324 0.284]	[-0.006 -0.011  0.018]	[-0.011  0.009  0.002]	-1.0228366699218725
1	['Pt', 'Pd', 'Au']	16	[0.387 0.337 0.271]	[-0.017 -0.017  0.033]	[ 0.013 -0.023  0.01 ]	-1.0229759960937477
2	['Pt', 'Pd', 'Au']	16	[0.381 0.301 0.317]	[-0.017  0.033 -0.017]	[ 0.013 -0.022  0.009]	-1.0310144726562478
3	['Pt', 'Pd', 'Au']	16	[0.347 0.337 0.315]	[ 0.033 -0.017 -0.017]	[ 0.012 -0.023  0.011]	-1.0274275292968729
4	['Pt', 'Pd', 'Au']	16	[0.354 0.344 0.301]	[ 0.02  -0.026  0.006]	[ 0.015 -0.023  0.009]	-1.0242770019531227
5	['Pt', 'Pd', 'Au']	16	[0.375 0.328 0.294]	[-0.004 -0.007  0.011]	[ 0.011 -0.022  0.011]	-1.0241039453124978
6	['Pt', 'Pd', 'Au']	16	[0.381 0.333 0.286]	[-0.006 -0.011  0.018]	[ 0.013 -0.023  0.01 ]	-1.0209203124999977
1	['Pt', 'Pd', 'Au']	17	[0.4   0.314 0.281]	[-0.017 -0.017  0.033]	[ 0.    -0.001  0.   ]	-1.0283643945312475
2	['Pt', 'Pd', 'Au']	17	[0.394 0.279 0.326]	[-0.017  0.033 -0.017]	[ 0.    -0.002  0.001]	-1.0115546874999999
3	['Pt', 'Pd', 'Au']	17	[0.359 0.314 0.326]	[ 0.033 -0.017 -0.017]	[ 0.001  0.    -0.001]	-1.024282656249998
4	['Pt', 'Pd', 'Au']	17	[0.369 0.321 0.31 ]	[ 0.02  -0.026  0.006]	[-0.001  0.     0.   ]	-1.0303922460937478
5	['Pt', 'Pd', 'Au']	17	[0.386 0.306 0.305]	[-0.004 -0.007  0.011]	[ 0.001 -0.001  0.   ]	-1.0304013769531228
6	['Pt', 'Pd', 'Au']	17	[0.394 0.31  0.296]	[-0.006 -0.011  0.018]	[-0. -0.  0.]	-1.0297370117187479
1	['Pt', 'Pd', 'Au']	18	[0.4   0.313 0.281]	[-0.017 -0.017  0.033]	[-0.004  0.015 -0.011]	-1.0283643945312475
2	['Pt', 'Pd', 'Au']	18	[0.394 0.277 0.327]	[-0.017  0.033 -0.017]	[-0.004  0.015 -0.011]	-1.0037576953125003
3	['Pt', 'Pd', 'Au']	18	[0.36  0.314 0.325]	[ 0.033 -0.017 -0.017]	[-0.004  0.014 -0.011]	-1.024282656249998
4	['Pt', 'Pd', 'Au']	18	[0.368 0.321 0.31 ]	[ 0.02  -0.026  0.006]	[-0.003  0.014 -0.011]	-1.0303922460937478
5	['Pt', 'Pd', 'Au']	18	[0.387 0.305 0.305]	[-0.004 -0.007  0.011]	[-0.004  0.015 -0.011]	-1.0304013769531228
6	['Pt', 'Pd', 'Au']	18	[0.394 0.31  0.296]	[-0.006 -0.011  0.018]	[-0.004  0.014 -0.01 ]	-1.0297370117187479
1	['Pt', 'Pd', 'Au']	19	[0.396 0.328 0.27 ]	[-0.017 -0.017  0.033]	[ 0.     0.001 -0.001]	-1.0244737499999974
2	['Pt', 'Pd', 'Au']	19	[0.39  0.292 0.316]	[-0.017  0.033 -0.017]	[-0.     0.001 -0.001]	-1.0307368945312483
3	['Pt', 'Pd', 'Au']	19	[0.356 0.328 0.314]	[ 0.033 -0.017 -0.017]	[-0.001  0.001 -0.   ]	-1.0263787207031227
4	['Pt', 'Pd', 'Au']	19	[0.365 0.335 0.299]	[ 0.02  -0.026  0.006]	[-0.001  0.001 -0.001]	-1.0233718847656228
5	['Pt', 'Pd', 'Au']	19	[0.383 0.32  0.294]	[-0.004 -0.007  0.011]	[-0.     0.001 -0.   ]	-1.0288679296874979
6	['Pt', 'Pd', 'Au']	19	[0.39  0.324 0.286]	[-0.006 -0.011  0.018]	[ 0.     0.001 -0.002]	-1.0223167382812475
1	['Pt', 'Pd', 'Au']	20	[0.396 0.329 0.269]	[-0.017 -0.017  0.033]	[ 0.004 -0.016  0.012]	-1.0245490234374974
2	['Pt', 'Pd', 'Au']	20	[0.39  0.293 0.315]	[-0.017  0.033 -0.017]	[ 0.004 -0.015  0.011]	-1.0307549804687484
3	['Pt', 'Pd', 'Au']	20	[0.355 0.329 0.314]	[ 0.033 -0.017 -0.017]	[ 0.005 -0.015  0.011]	-1.0263787207031227
4	['Pt', 'Pd', 'Au']	20	[0.364 0.336 0.298]	[ 0.02  -0.026  0.006]	[ 0.004 -0.016  0.011]	-1.0233718847656228
5	['Pt', 'Pd', 'Au']	20	[0.383 0.321 0.294]	[-0.004 -0.007  0.011]	[ 0.004 -0.015  0.011]	-1.0288679296874979
6	['Pt', 'Pd', 'Au']	20	[0.39  0.325 0.284]	[-0.006 -0.011  0.018]	[ 0.004 -0.015  0.012]	-1.0228366699218725
1	['Pt', 'Pd', 'Au']	21	[0.4   0.313 0.281]	[-0.017 -0.017  0.033]	[-0.  0.  0.]	-1.0283643945312475
2	['Pt', 'Pd', 'Au']	21	[0.394 0.278 0.326]	[-0.017  0.033 -0.017]	[-0.    -0.001  0.001]	-1.0115546874999999
3	['Pt', 'Pd', 'Au']	21	[0.36  0.314 0.325]	[ 0.033 -0.017 -0.017]	[-0.    -0.     0.001]	-1.024282656249998
4	['Pt', 'Pd', 'Au']	21	[0.368 0.32  0.309]	[ 0.02  -0.026  0.006]	[-0.001 -0.     0.001]	-1.030634882812498
5	['Pt', 'Pd', 'Au']	21	[0.387 0.306 0.305]	[-0.004 -0.007  0.011]	[ 0.    -0.001  0.001]	-1.0304013769531228
6	['Pt', 'Pd', 'Au']	21	[0.394 0.31  0.296]	[-0.006 -0.011  0.018]	[ 0.    -0.001  0.001]	-1.0297370117187479
1	['Pt', 'Pd', 'Au']	22	[0.4   0.313 0.281]	[-0.017 -0.017  0.033]	[-0.015  0.023 -0.008]	-1.0283643945312475
2	['Pt', 'Pd', 'Au']	22	[0.394 0.277 0.327]	[-0.017  0.033 -0.017]	[-0.015  0.023 -0.008]	-1.0037576953125003
3	['Pt', 'Pd', 'Au']	22	[0.36  0.314 0.326]	[ 0.033 -0.017 -0.017]	[-0.014  0.023 -0.009]	-1.024282656249998
4	['Pt', 'Pd', 'Au']	22	[0.367 0.32  0.31 ]	[ 0.02  -0.026  0.006]	[-0.014  0.023 -0.009]	-1.0303922460937478
5	['Pt', 'Pd', 'Au']	22	[0.387 0.305 0.306]	[-0.004 -0.007  0.011]	[-0.015  0.023 -0.009]	-1.0304013769531228
6	['Pt', 'Pd', 'Au']	22	[0.394 0.309 0.297]	[-0.006 -0.011  0.018]	[-0.015  0.024 -0.009]	-1.030436074218748
1	['Pt', 'Pd', 'Au']	23	[0.385 0.336 0.273]	[-0.017 -0.017  0.033]	[ 0.014 -0.005 -0.009]	-1.0228476855468724
2	['Pt', 'Pd', 'Au']	23	[0.379 0.3   0.319]	[-0.017  0.033 -0.017]	[ 0.014 -0.004 -0.01 ]	-1.0310144726562478
3	['Pt', 'Pd', 'Au']	23	[0.346 0.337 0.317]	[ 0.033 -0.017 -0.017]	[ 0.013 -0.005 -0.008]	-1.027304101562498
4	['Pt', 'Pd', 'Au']	23	[0.353 0.343 0.301]	[ 0.02  -0.026  0.006]	[ 0.014 -0.005 -0.008]	-1.0242770019531227
5	['Pt', 'Pd', 'Au']	23	[0.372 0.328 0.297]	[-0.004 -0.007  0.011]	[ 0.014 -0.005 -0.009]	-1.0248030078124977
6	['Pt', 'Pd', 'Au']	23	[0.379 0.333 0.288]	[-0.006 -0.011  0.018]	[ 0.008 -0.006 -0.002]	-1.0215316308593727
1	['Pt', 'Pd', 'Au']	24	[0.399 0.331 0.264]	[-0.017 -0.017  0.033]	[ 0.001 -0.017  0.016]	-1.0245325683593725
2	['Pt', 'Pd', 'Au']	24	[0.393 0.296 0.309]	[-0.017  0.033 -0.017]	[ 0.001 -0.018  0.017]	-1.0309422558593735
3	['Pt', 'Pd', 'Au']	24	[0.359 0.332 0.309]	[ 0.033 -0.017 -0.017]	[ 0.001 -0.017  0.016]	-1.026744785156248
4	['Pt', 'Pd', 'Au']	24	[0.367 0.338 0.293]	[ 0.02  -0.026  0.006]	[ 0.001 -0.017  0.016]	-1.0226334082031228
5	['Pt', 'Pd', 'Au']	24	[0.386 0.323 0.288]	[-0.004 -0.007  0.011]	[ 0.001 -0.017  0.016]	-1.0229280566406227
6	['Pt', 'Pd', 'Au']	24	[0.387 0.327 0.286]	[-0.006 -0.011  0.018]	[ 0.004 -0.016  0.013]	-1.0223167382812475
1	['Pt', 'Pd', 'Au']	25	[0.4   0.314 0.28 ]	[-0.017 -0.017  0.033]	[-0.    -0.001  0.002]	-1.0283643945312475
2	['Pt', 'Pd', 'Au']	25	[0.394 0.278 0.326]	[-0.017  0.033 -0.017]	[-0.    -0.001  0.001]	-1.0115546874999999
3	['Pt', 'Pd', 'Au']	25	[0.36  0.315 0.325]	[ 0.033 -0.017 -0.017]	[ 0.    -0.001  0.001]	-1.024282656249998
4	['Pt', 'Pd', 'Au']	25	[0.368 0.321 0.309]	[ 0.02  -0.026  0.006]	[-0.    -0.001  0.001]	-1.030634882812498
5	['Pt', 'Pd', 'Au']	25	[0.387 0.306 0.304]	[-0.004 -0.007  0.011]	[-0.    -0.001  0.002]	-1.0304013769531228
6	['Pt', 'Pd', 'Au']	25	[0.391 0.311 0.299]	[-0.006 -0.011  0.018]	[-0.001 -0.002  0.003]	-1.0304013769531228
1	['Pt', 'Pd', 'Au']	26	[0.4   0.313 0.282]	[-0.017 -0.017  0.033]	[-0.014  0.023 -0.009]	-1.0283643945312475
2	['Pt', 'Pd', 'Au']	26	[0.394 0.277 0.327]	[-0.017  0.033 -0.017]	[-0.014  0.023 -0.009]	-1.0037576953125003
3	['Pt', 'Pd', 'Au']	26	[0.36  0.314 0.326]	[ 0.033 -0.017 -0.017]	[-0.014  0.023 -0.009]	-1.024282656249998
4	['Pt', 'Pd', 'Au']	26	[0.368 0.32  0.31 ]	[ 0.02  -0.026  0.006]	[-0.014  0.023 -0.009]	-1.0303922460937478
5	['Pt', 'Pd', 'Au']	26	[0.387 0.305 0.306]	[-0.004 -0.007  0.011]	[-0.014  0.023 -0.009]	-1.0304013769531228
6	['Pt', 'Pd', 'Au']	26	[0.39  0.309 0.302]	[-0.006 -0.011  0.018]	[-0.014  0.024 -0.009]	-1.0304013769531228
1	['Pt', 'Pd', 'Au']	27	[0.386 0.336 0.273]	[-0.017 -0.017  0.033]	[ 0.01  -0.007 -0.003]	-1.0228476855468724
2	['Pt', 'Pd', 'Au']	27	[0.38  0.3   0.318]	[-0.017  0.033 -0.017]	[ 0.01  -0.007 -0.003]	-1.0310144726562478
3	['Pt', 'Pd', 'Au']	27	[0.346 0.337 0.317]	[ 0.033 -0.017 -0.017]	[ 0.01  -0.007 -0.002]	-1.027304101562498
4	['Pt', 'Pd', 'Au']	27	[0.354 0.343 0.301]	[ 0.02  -0.026  0.006]	[ 0.01  -0.007 -0.003]	-1.0242770019531227
5	['Pt', 'Pd', 'Au']	27	[0.373 0.328 0.297]	[-0.004 -0.007  0.011]	[ 0.01  -0.007 -0.003]	-1.0248030078124977
6	['Pt', 'Pd', 'Au']	27	[0.376 0.333 0.293]	[-0.006 -0.011  0.018]	[ 0.01  -0.007 -0.003]	-1.0227075195312478
